trader_address_label,Entity,trader_address,account_value,roi,total_pnl(unrealize profit)
Fasanara Capital: 0x7fd [0x7fdafd],VCs,0x621c5551678189b9a6c94d929924c225ff1d63ab,"61,814,094.23",0.10,"8,095,502.41"
Dex Trader [0xd47587],retail,0xd47587702a91731dc1089b5db0932cf820151a91,"53,954,916.83",0.01,"457,468.62"
Wintermute Market Making [0xecb63c],MM,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,"43,353,163.27",0.00,"5,103,131.64"
Abraxas Capital [0x5b5d51],VCs,0x5b5d51203a0f9079f8aeb098a6523a13f298c060,"37,919,599.31",0.67,"31,663,758.14"
Trading Bot [0xffbd3e],retail,0xffbd3e51ae0e2c4407434e157965c064f2a11628,"34,792,137.22",0.03,"767,452.49"
Trading Bot [0x880ac4],retail,0x880ac484a1743862989a441d6d867238c7aa311c,"33,092,550.13",0.02,"12,168,801.29"
Whale [0x856c35],retail,0x856c35038594767646266bc7fd68dc26480e910d,"29,934,218.34",0.01,"1,458,533.52"
Whale [0x94d373],retail,0x94d3735543ecb3d339064151118644501c933814,"28,968,435.72",0.01,"3,167,753.41"
Bridge User [0xfc667a],retail,0xfc667adba8d4837586078f4fdcdc29804337ca06,"28,196,371.28",0.02,"1,154,648.28"
Smart HL Perps Trader [0x35d115],retail,0x35d1151ef1aab579cbb3109e69fa82f94ff5acb1,"24,835,746.00",0.12,"6,902,323.82"
Smart HL Perps Trader [0xa31211],retail,0xa312114b5795dff9b8db50474dd57701aa78ad1e,"21,823,429.69",0.04,"3,193,333.07"
Abraxas Capital [0xb83de0],VCs,0xb83de012dba672c76a7dbbbf3e459cb59d7d6e36,"19,401,682.18",0.82,"6,890,489.19"
High Activity [0x8e0969],retail,0x8e096995c3e4a3f0bc5b3ea1cba94de2aa4d70c9,"17,806,910.37",0.06,"4,200,591.68"
Galaxy Digital [0xcac196],VCs,0xcac19662ec88d23fa1c81ac0e8570b0cf2ff26b3,"17,181,889.44",0.18,"6,671,819.44"
Whale [0xf9109a],retail,0xf9109ada2f73c62e9889b45453065f0d99260a2d,"16,729,817.00",0.00,"358,610.44"
High Balance [0x31dea2],retail,0x31dea2516beee92135b96f464eeec3cf292a13f2,"16,163,334.07",0.03,"277,243.13"
Whale [0x985f02],retail,0x985f02b19dbc062e565c981aac5614baf2cf501f,"14,943,925.14",0.00,"1,062,398.78"
[0x09bc1c],retail,0x09bc1cf4d9f0b59e1425a8fde4d4b1f7d3c9410d,"12,365,449.30",0.05,"1,223,850.18"
Former Smart Trader [0x8ae4c5],retail,0x8ae4c5b303bc77c3aa68f2b71f37c9fa6d3b3d60,"11,142,560.66",0.46,"268,215.00"
Trading Bot [0x7717a7],retail,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,"9,960,721.37",0.00,"956,836.39"
Bridge User [0x76c216],retail,0x76c2164fc79492401db1890db0d17d16b9155aa0,"9,591,882.83",0.36,"3,942,621.86"
High Balance [0x57dd78],retail,0x57dd78cd36e76e2011e8f6dc25cabbaba994494b,"9,581,789.37",0.00,"246,442.14"
